zone_geo;part_age_inf18;part_age_inc;annee
Corse;2,0;0,2;2021
Grand Est;2,9;0,2;2021
Hauts-de-France;3,7;0,2;2021
Ile-de-France;2,3;2,2;2021
Normandie;3,9;0,5;2021
Nouvelle-Aquitaine;2,9;1,6;2021
Occitanie;3,1;0,7;2021
Pays de la Loire;3,2;0,2;2021
Provence - Alpes - Côte d'Azur;2,7;0,6;2021
Ain;3,2;0,2;2020
Aisne;4,9;0,1;2020
Allier;4,4;0,7;2020
Alpes-de-Haute-Provence;2,9;0,5;2020
Hautes-Alpes;2,7;0,8;2020
Alpes-Maritimes;2,2;0,4;2020
Ardèche;4,4;0,3;2020
Ardennes;6,0;0,3;2020
Ariège;3,7;0,4;2020
Aube;4,3;0,0;2020
Aude;4,3;0,1;2020
Aveyron;2,9;0,0;2020
Bouches-du-Rhône;2,7;0,3;2020
Calvados;4,3;0,1;2020
Cantal;3,1;0,0;2020
Charente;3,8;0,5;2020
Charente-Maritime;3,6;0,2;2020
Cher;2,6;0,3;2020
Corrèze;5,3;0,0;2020
Corse-du-Sud;2,3;1,1;2020
Haute-Corse;2,2;0,7;2020
Côte-d'Or;2,5;0,4;2020
Côtes-d'Armor;3,7;0,1;2020
Creuse;4,1;0,0;2020
Dordogne;4,5;0,2;2020
Doubs;2,5;0,5;2020
Drôme;2,8;0,5;2020
Eure;3,3;0,1;2020
Eure-et-Loir;3,2;0,8;2020
Finistère;2,9;0,5;2020
Gard;3,1;0,6;2020
Haute-Garonne;2,3;0,8;2020
Gers;2,9;0,8;2020
Gironde;2,7;1,7;2020
Hérault;3,2;0,7;2020
Ille-et-Vilaine;2,7;5,0;2020
Indre;3,0;2,3;2020
Indre-et-Loire;2,3;0,1;2020
Isère;2,8;0,4;2020
Jura;3,7;0,3;2020
Landes;2,7;0,2;2020
Loir-et-Cher;3,7;0,0;2020
Loire;3,1;0,7;2020
Haute-Loire;1,9;0,2;2020
Loire-Atlantique;3,1;0,2;2020
Loiret;4,5;0,4;2020
Lot;3,8;0,2;2020
Lot-et-Garonne;3,3;0,2;2020
Lozère;3,8;0,0;2020
Maine-et-Loire;3,6;0,1;2020
Manche;3,2;0,4;2020
Marne;3,0;0,4;2020
Haute-Marne;4,4;0,5;2020
Mayenne;3,2;0,4;2020
Meurthe-et-Moselle;3,3;0,1;2020
Meuse;4,0;0,0;2020
Morbihan;3,7;0,4;2020
Moselle;2,4;0,2;2020
Nièvre;2,2;0,3;2020
Nord;3,7;0,2;2020
Oise;3,6;0,0;2020
Orne;4,5;0,0;2020
Pas-de-Calais;3,6;0,4;2020
Puy-de-Dôme;3,7;0,8;2020
Pyrénées-Atlantiques;2,6;1,2;2020
Hautes-Pyrénées;3,3;0,4;2020
Pyrénées-Orientales;4,5;0,5;2020
Bas-Rhin;2,7;0,2;2020
Haut-Rhin;2,8;0,1;2020
Rhône;2,6;0,4;2020
Haute-Saône;3,6;0,0;2020
Saône-et-Loire;4,0;0,2;2020
Sarthe;3,3;0,0;2020
Savoie;2,7;0,4;2020
Haute-Savoie;2,5;0,4;2020
Paris;1,9;5,6;2020
Seine-Maritime;4,2;0,2;2020
Seine-et-Marne;2,6;0,2;2020
Yvelines;2,2;0,2;2020
Deux-Sèvres;3,5;0,0;2020
Somme;3,3;0,1;2020
Tarn;2,2;1,0;2020
Tarn-et-Garonne;3,1;0,3;2020
Var;2,8;0,7;2020
Vaucluse;3,5;0,2;2020
Vendée;2,8;0,2;2020
Vienne;3,3;0,0;2020
Haute-Vienne;4,6;0,1;2020
Vosges;3,0;0,0;2020
Yonne;3,9;0,1;2020
Territoire de Belfort;4,3;0,0;2020
Essonne;2,5;0,4;2020
Hauts-de-Seine;2,3;0,2;2020
Seine-Saint-Denis;2,4;5,4;2020
Val-de-Marne;2,7;0,2;2020
Val-d'Oise;2,2;0,1;2020
Total métropole;3,0;0,9;2020
Guadeloupe;3,4;0,1;2020
Martinique;4,2;0,1;2020
Guyane;5,6;0,0;2020
La Réunion;4,9;0,3;2020
Mayotte;10,3;0,0;2020
total DROM;5,2;0,1;2020
France entière;3,1;0,8;2020
Auvergne -  Rhône-Alpes;2,9;0,4;2020
Bourgogne -  Franche-Comté;3,2;0,3;2020
Bretagne;3,2;1,9;2020
Centre -  Val de Loire;3,4;0,5;2020
Corse;2,2;0,9;2020
Grand Est;3,1;0,2;2020
Hauts-de-France;3,7;0,2;2020
Ile-de-France;2,3;2,1;2020
Normandie;3,9;0,2;2020
Nouvelle-Aquitaine;3,3;0,8;2020
Occitanie;3,1;0,6;2020
Pays de la Loire;3,2;0,1;2020
Provence - Alpes - Côte d'Azur;2,7;0,4;2020
Ain;3,2;0,1;2019
Aisne;5,2;0,0;2019
Allier;3,8;0,1;2019
Alpes-de-Haute-Provence;4,0;0,3;2019
Hautes-Alpes;3,7;0,2;2019
Alpes-Maritimes;2,7;0,0;2019
Ardèche;2,2;0,1;2019
Ardennes;3,9;0,0;2019
Ariège;3,2;0,0;2019
Aube;4,3;0,0;2019
Aude;3,6;0,0;2019
Aveyron;3,9;0,0;2019
Bouches-du-Rhône;2,9;0,1;2019
Calvados;4,2;0,1;2019
Cantal;1,4;0,0;2019
Charente;4,0;0,1;2019
Charente-Maritime;3,6;0,0;2019
Cher;4,6;0,0;2019
Corrèze;4,3;0,0;2019
Corse-du-Sud;2,9;0,0;2019
Haute-Corse;3,7;0,0;2019
Côte-d'Or;3,2;0,1;2019
Côtes-d'Armor;3,0;0,1;2019
Creuse;3,8;0,5;2019
Dordogne;4,7;0,2;2019
Doubs;3,5;0,1;2019
Drôme;3,1;0,1;2019
Eure;4,1;0,0;2019
Eure-et-Loir;4,4;0,5;2019
Finistère;4,0;0,0;2019
Gard;3,8;0,2;2019
Haute-Garonne;2,3;0,4;2019
Gers;3,6;0,2;2019
Gironde;3,1;1,3;2019
Hérault;3,0;0,1;2019
Ille-et-Vilaine;4,0;3,0;2019
Indre;1,8;0,0;2019
Indre-et-Loire;2,9;0,0;2019
Isère;3,0;0,3;2019
Jura;3,0;0,0;2019
Landes;3,5;0,0;2019
Loir-et-Cher;3,9;0,0;2019
Loire;3,2;0,1;2019
Haute-Loire;2,7;0,0;2019
Loire-Atlantique;3,3;0,0;2019
Loiret;3,4;0,0;2019
Lot;4,0;0,0;2019
Lot-et-Garonne;2,7;0,0;2019
Lozère;2,8;0,0;2019
Maine-et-Loire;4,4;0,0;2019
Manche;3,0;0,0;2019
Marne;4,2;1,2;2019
Haute-Marne;4,0;0,0;2019
Mayenne;4,3;0,2;2019
Meurthe-et-Moselle;3,9;0,0;2019
Meuse;5,3;0,0;2019
Morbihan;3,8;0,1;2019
Moselle;2,8;0,0;2019
Nièvre;2,3;0,6;2019
Nord;4,3;0,0;2019
Oise;3,6;0,0;2019
Orne;3,4;0,0;2019
Pas-de-Calais;4,8;0,4;2019
Puy-de-Dôme;3,6;0,1;2019
Pyrénées-Atlantiques;2,8;0,3;2019
Hautes-Pyrénées;5,1;0,2;2019
Pyrénées-Orientales;4,6;0,1;2019
Bas-Rhin;3,2;0,0;2019
Haut-Rhin;3,2;0,0;2019
Rhône;2,8;0,0;2019
Haute-Saône;6,0;0,0;2019
Saône-et-Loire;4,1;0,0;2019
Sarthe;4,8;0,0;2019
Savoie;2,0;0,5;2019
Haute-Savoie;2,4;0,3;2019
Paris;1,7;5,2;2019
Seine-Maritime;4,5;0,0;2019
Seine-et-Marne;3,0;0,0;2019
Yvelines;2,6;0,1;2019
Deux-Sèvres;4,2;0,0;2019
Somme;4,5;0,0;2019
Tarn;3,6;0,1;2019
Tarn-et-Garonne;4,5;0,0;2019
Var;3,0;0,2;2019
Vaucluse;3,5;0,0;2019
Vendée;3,9;0,0;2019
Vienne;3,6;0,1;2019
Haute-Vienne;3,2;0,0;2019
Vosges;4,4;0,2;2019
Yonne;3,6;0,2;2019
Territoire de Belfort;5,1;0,0;2019
Essonne;3,0;0,1;2019
Hauts-de-Seine;2,5;0,0;2019
Seine-Saint-Denis;3,2;6,4;2019
Val-de-Marne;3,1;0,0;2019
Val-d'Oise;2,9;0,1;2019
Total métropole;3,3;0,7;2019
Guadeloupe;3,4;0,5;2019
Martinique;4,2;0,1;2019
Guyane;6,1;0,0;2019
La Réunion;6,2;0,4;2019
Mayotte;10,9;0,0;2019
total DROM;5,7;0,3;2019
France entière;3,4;0,7;2019
Auvergne -  Rhône-Alpes;2,9;0,2;2019
Bourgogne -  Franche-Comté;3,7;0,1;2019
Bretagne;3,8;1,1;2019
Centre -  Val de Loire;3,6;0,1;2019
Corse;3,3;0,0;2019
Grand Est;3,6;0,2;2019
Hauts-de-France;4,4;0,1;2019
Ile-de-France;2,7;2,1;2019
Normandie;4,1;0,0;2019
Nouvelle-Aquitaine;3,4;0,5;2019
Occitanie;3,3;0,2;2019
Pays de la Loire;3,9;0,0;2019
Provence - Alpes - Côte d'Azur;3,0;0,1;2019
Ain;2,5;0,0;2018
Aisne;5,3;0,0;2018
Allier;3,9;0,1;2018
Alpes-de-Haute-Provence;3,2;1,3;2018
Hautes-Alpes;3,0;1,5;2018
Alpes-Maritimes;2,3;0,2;2018
Ardèche;2,9;0,0;2018
Ardennes;5,3;0,0;2018
Ariège;2,8;0,0;2018
Aube;4,7;0,0;2018
Aude;4,6;0,1;2018
Aveyron;3,0;0,0;2018
Bouches-du-Rhône;3,2;0,1;2018
Calvados;3,6;0,1;2018
Cantal;3,5;0,0;2018
Charente;4,3;0,0;2018
Charente-Maritime;2,9;0,2;2018
Cher;4,8;0,0;2018
Corrèze;3,4;0,0;2018
Corse-du-Sud;2,2;0,0;2018
Haute-Corse;1,7;0,0;2018
Côte-d'Or;4,2;0,0;2018
Côtes-d'Armor;3,9;0,1;2018
Creuse;2,0;0,0;2018
Dordogne;4,9;0,2;2018
Doubs;2,8;0,1;2018
Drôme;3,6;0,1;2018
Eure;3,5;0,0;2018
Eure-et-Loir;4,5;1,2;2018
Finistère;4,1;0,1;2018
Gard;3,8;0,1;2018
Haute-Garonne;2,3;0,3;2018
Gers;3,4;0,2;2018
Gironde;2,9;0,4;2018
Hérault;3,6;0,0;2018
Ille-et-Vilaine;3,5;2,8;2018
Indre;2,8;0,0;2018
Indre-et-Loire;5,0;0,3;2018
Isère;3,7;0,7;2018
Jura;4,4;0,0;2018
Landes;4,2;0,0;2018
Loir-et-Cher;4,4;0,0;2018
Loire;3,2;0,1;2018
Haute-Loire;5,1;0,0;2018
Loire-Atlantique;3,8;0,0;2018
Loiret;4,4;0,1;2018
Lot;4,6;0,0;2018
Lot-et-Garonne;4,2;0,0;2018
Lozère;3,6;0,0;2018
Maine-et-Loire;4,8;0,0;2018
Manche;4,6;0,0;2018
Marne;3,4;1,1;2018
Haute-Marne;4,8;0,0;2018
Mayenne;3,3;0,0;2018
Meurthe-et-Moselle;2,7;0,0;2018
Meuse;5,2;0,0;2018
Morbihan;3,9;0,1;2018
Moselle;2,6;0,0;2018
Nièvre;3,4;1,5;2018
Nord;4,3;0,0;2018
